N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
93,NH투자증권,"13,400",50,-0.37%,"5,000","37,709","281,409",18.69,"385,851",4.77,10.32,
94,한국가스공사,"40,800","1,950",+5.02%,"5,000","37,664","92,313",6.66,"1,971,262",14.95,-2.24,
95,롯데지주,"35,400",50,+0.14%,200,"37,138","104,909",8.26,"86,352",50.57,-3.03,
96,메리츠화재,"30,400",400,+1.33%,500,"36,670","120,625",10.94,"356,768",6.94,16.91,
97,한미약품,"303,000",500,+0.17%,"2,500","36,597","12,078",13.05,"13,720",158.47,1.65,
98,현대차2우B,"99,700",200,+0.20%,"5,000","36,376","36,485",60.92,"55,699",7.22,N/A,
99,메리츠증권,"5,290",20,-0.38%,"1,000","36,064","681,731",14.27,"2,266,725",5.64,13.08,
100,신풍제약,"67,600",200,+0.30%,500,"35,818","52,985",8.06,"561,628","1,126.67",1.72,
101,GS리테일,"34,100",250,-0.73%,"1,000","35,709","104,718",10.12,"185,971",18.72,7.50,
102,한화시스템,"18,800",600,+3.30%,"5,000","35,517","188,919",3.20,"2,465,544",20.39,9.35,
103,호텔신라,"89,800",600,-0.66%,"5,000","35,245","39,248",17.85,"312,926",-27.31,-36.74,
104,SK케미칼,"298,500","2,500",+0.84%,"5,000","35,078","11,751",16.80,"251,678",37.92,30.49,
105,OCI,"142,000","2,500",+1.79%,"5,000","33,866","23,849",19.25,"253,325",116.97,-9.89,
106,효성첨단소재,"753,000","9,000",+1.21%,"5,000","33,734","4,480",13.49,"91,200",22.95,0.03,
107,두산퓨얼셀,"51,000",300,+0.59%,100,"33,402","65,494",13.36,"450,529",850.00,4.18,
108,에스원,"85,800",600,+0.70%,500,"32,603","37,999",53.86,"35,394",22.25,10.48,
109,효성티앤씨,"748,000","1,000",+0.13%,"5,000","32,371","4,328",23.19,"26,602",6.40,25.10,
110,씨에스윈드,"75,500",600,-0.79%,500,"31,839","42,171",11.15,"221,931",53.55,8.19,
111,대우조선해양,"29,650",100,+0.34%,"5,000","31,812","107,291",7.05,"395,109",-2.19,2.27,
112,더존비즈온,"104,500","4,000",+3.98%,500,"31,706","30,341",41.14,"253,548",50.93,15.09,
113,키움증권,"119,500",500,-0.42%,"5,000","31,332","26,220",24.51,"46,791",3.21,27.63,
114,BGF리테일,"179,500",500,+0.28%,"1,000","31,025","17,284",33.11,"30,993",22.11,18.60,
115,한국항공우주,"31,500",50,-0.16%,"5,000","30,705","97,475",13.28,"198,784",155.94,6.39,
116,CJ,"105,000","1,000",-0.94%,"5,000","30,636","29,177",17.72,"70,411",71.77,1.89,
117,현대미포조선,"76,700",400,-0.52%,"5,000","30,636","39,942",11.22,"186,032",-16.86,-0.84,
